,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2006-11-17T00:00:00.000Z,24.74,25.18,23.5,24.5,18358000,24.74,25.18,23.5,24.5,18358000,0.0,1.0
1,2006-11-20T00:00:00.000Z,25.0,25.67,24.29,24.69,1689000,25.0,25.67,24.29,24.69,1689000,0.0,1.0
2,2006-11-21T00:00:00.000Z,24.6,25.19,24.31,25.0,1179900,24.6,25.19,24.31,25.0,1179900,0.0,1.0
3,2006-11-22T00:00:00.000Z,26.88,26.88,24.5,24.57,1260800,26.88,26.88,24.5,24.57,1260800,0.0,1.0
4,2006-11-24T00:00:00.000Z,27.75,27.96,26.88,27.0,350300,27.75,27.96,26.88,27.0,350300,0.0,1.0
5,2006-11-27T00:00:00.000Z,28.35,28.5,27.92,28.39,910500,28.35,28.5,27.92,28.39,910500,0.0,1.0
6,2006-11-28T00:00:00.000Z,28.17,28.9,27.75,28.53,587500,28.17,28.9,27.75,28.53,587500,0.0,1.0
7,2006-11-29T00:00:00.000Z,28.27,28.95,28.0,28.5,414700,28.27,28.95,28.0,28.5,414700,0.0,1.0
8,2006-11-30T00:00:00.000Z,28.3,28.8,28.0,28.8,245700,28.3,28.8,28.0,28.8,245700,0.0,1.0
9,2006-12-01T00:00:00.000Z,27.89,28.3,27.56,28.3,257300,27.89,28.3,27.56,28.3,257300,0.0,1.0
10,2006-12-04T00:00:00.000Z,27.88,28.4,27.56,28.0,483000,27.88,28.4,27.56,28.0,483000,0.0,1.0
11,2006-12-05T00:00:00.000Z,27.08,27.89,26.4,27.62,782400,27.08,27.89,26.4,27.62,782400,0.0,1.0
12,2006-12-06T00:00:00.000Z,27.2,27.63,26.77,26.8,138300,27.2,27.63,26.77,26.8,138300,0.0,1.0
13,2006-12-07T00:00:00.000Z,27.32,27.74,27.32,27.7,155100,27.32,27.74,27.32,27.7,155100,0.0,1.0
14,2006-12-08T00:00:00.000Z,27.53,27.57,27.2,27.5,55300,27.53,27.57,27.2,27.5,55300,0.0,1.0
15,2006-12-11T00:00:00.000Z,27.95,28.4,27.32,27.32,232600,27.95,28.4,27.32,27.32,232600,0.0,1.0
16,2006-12-12T00:00:00.000Z,27.2,28.2,26.91,28.2,371700,27.2,28.2,26.91,28.2,371700,0.0,1.0
17,2006-12-13T00:00:00.000Z,27.64,28.11,26.5,27.3,547700,27.64,28.11,26.5,27.3,547700,0.0,1.0
18,2006-12-14T00:00:00.000Z,27.93,28.62,27.32,27.62,837700,27.93,28.62,27.32,27.62,837700,0.0,1.0
19,2006-12-15T00:00:00.000Z,29.05,29.28,27.77,28.36,2069200,29.05,29.28,27.77,28.36,2069200,0.0,1.0
20,2006-12-18T00:00:00.000Z,28.59,29.87,28.42,29.32,738900,28.59,29.87,28.42,29.32,738900,0.0,1.0
21,2006-12-19T00:00:00.000Z,27.79,28.2,26.5401,28.0,470800,27.79,28.2,26.5401,28.0,470800,0.0,1.0
22,2006-12-20T00:00:00.000Z,27.78,28.92,27.01,27.88,284200,27.78,28.92,27.01,27.88,284200,0.0,1.0
23,2006-12-21T00:00:00.000Z,26.69,27.85,26.66,27.5,616700,26.69,27.85,26.66,27.5,616700,0.0,1.0
24,2006-12-22T00:00:00.000Z,27.53,27.7,26.86,26.99,151200,27.53,27.7,26.86,26.99,151200,0.0,1.0
25,2006-12-26T00:00:00.000Z,27.1,28.34,27.04,27.63,87500,27.1,28.34,27.04,27.63,87500,0.0,1.0
26,2006-12-27T00:00:00.000Z,28.81,28.81,27.74,28.24,788300,28.81,28.81,27.74,28.24,788300,0.0,1.0
27,2006-12-28T00:00:00.000Z,29.86,29.98,28.0,28.72,1396200,29.86,29.98,28.0,28.72,1396200,0.0,1.0
28,2006-12-29T00:00:00.000Z,29.84,30.0,29.02,29.99,355500,29.84,30.0,29.02,29.99,355500,0.0,1.0
29,2007-01-03T00:00:00.000Z,28.5,30.29,28.2,30.17,487000,28.5,30.29,28.2,30.17,487000,0.0,1.0
30,2007-01-04T00:00:00.000Z,28.75,28.84,28.0,28.11,325500,28.75,28.84,28.0,28.11,325500,0.0,1.0
31,2007-01-05T00:00:00.000Z,28.15,28.65,27.73,28.65,524300,28.15,28.65,27.73,28.65,524300,0.0,1.0
32,2007-01-08T00:00:00.000Z,28.9,29.0,28.26,28.26,317000,28.9,29.0,28.26,28.26,317000,0.0,1.0
33,2007-01-09T00:00:00.000Z,29.27,29.77,28.95,29.0,232800,29.27,29.77,28.95,29.0,232800,0.0,1.0
